description,industry,level,size,line_code,value,Unit,Footnotes
Number of major suppliers in New Zealand 15,Nonmetallic mineral product,2,total,C190102,54,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand 15,Metal product,2,total,C190102,141,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand 15,Transport and industrial machinery  equipment,2,total,C190102,48,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand 15,Other machinery  equipment,2,total,C190102,51,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand 15,Other manufacturing,2,total,C190102,45,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand 15,Electricity gas water  waste services,1,total,C190102,51,Number of businesses,1 and 2 and 3 and 5 and 6
Number of major suppliers in New Zealand 15,Construction,1,total,C190102,1851,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand 15,Wholesale trade,1,total,C190102,960,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand 15,Machinery  equipment wholesaling,2,total,C190102,240,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand 15,Other wholesale trade,2,total,C190102,717,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand 15,Retail trade,1,total,C190102,615,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand 15,Accommodation  food services,1,total,C190102,2013,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand 15,Transport postal  warehousing,1,total,C190102,327,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand 15,Information media  telecommunications,1,total,C190102,138,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand 15,Publishing,2,total,C190102,87,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand 15,Motion picture,2,total,C190102,15,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand 15,Telecommunications,2,total,C190102,36,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand 15,Financial  insurance services,1,total,C190102,156,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand 15,Finance,2,total,C190102,54,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand 15,Insurance,2,total,C190102,3,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand 15,Auxiliary,2,total,C190102,102,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand 15,Rental hiring  real estate services,1,total,C190102,159,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand 15,Professional scientific  technical services,1,total,C190102,1284,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand 15,Computer systems design,2,total,C190102,408,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand 15,Other professional scientific,2,total,C190102,879,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand 15,Administrative  support services,1,total,C190102,567,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand 15,Education  training,1,total,C190102,453,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand 15,Health care  social assistance,1,total,C190102,696,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand 15,Arts  recreation services,1,total,C190102,141,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand 15,Other services,1,total,C190102,243,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand 15,total,0,total,C190102,11403,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand 620,total,0,619 employees,C190103,14715,Number of businesses,1 and 2 and 3 and 4 and 6
Number of major suppliers in New Zealand 620,total,0,2049 employees,C190103,3126,Number of businesses,1 and 2 and 3 and 4 and 6
Number of major suppliers in New Zealand 620,total,0,5099 employees,C190103,774,Number of businesses,1 and 2 and 3 and 4 and 6
Number of major suppliers in New Zealand 620,total,0,100 employees,C190103,411,Number of businesses,1 and 2 and 3 and 4 and 6
Number of major suppliers in New Zealand 620,Agriculture forestry  fishing,1,total,C190103,1260,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand 620,Agriculture,2,total,C190103,855,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand 620,Commercial fishing,2,total,C190103,18,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand 620,Forestry  logging,2,total,C190103,90,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand 620,Agriculture forestry  fishing support services,2,total,C190103,300,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand 620,Mining,1,total,C190103,42,Number of businesses,1 and 2 and 3 and 5 and 6
Number of major suppliers in New Zealand 620,Manufacturing,1,total,C190103,2223,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand 620,Food beverage  tobacco,2,total,C190103,498,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand 620,Textile clothing footwear  leather,2,total,C190103,132,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand 620,Wood  paper product,2,total,C190103,258,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand 620,Printing publishing  recorded media,2,total,C190103,81,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand 620,Petroleum coal chemical  associated product,2,total,C190103,192,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand 620,Nonmetallic mineral product,2,total,C190103,87,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand 620,Metal product,2,total,C190103,435,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand 620,Transport and industrial machinery  equipment,2,total,C190103,297,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand 620,Other machinery  equipment,2,total,C190103,90,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand 620,Other manufacturing,2,total,C190103,153,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand 620,Electricity gas water  waste services,1,total,C190103,72,Number of businesses,1 and 2 and 3 and 5 and 6
Number of major suppliers in New Zealand 620,Construction,1,total,C190103,2742,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand 620,Wholesale trade,1,total,C190103,717,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand 620,Machinery  equipment wholesaling,2,total,C190103,252,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand 620,Other wholesale trade,2,total,C190103,465,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand 620,Retail trade,1,total,C190103,1923,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand 620,Accommodation  food services,1,total,C190103,3303,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand 620,Transport postal  warehousing,1,total,C190103,636,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand 620,Information media  telecommunications,1,total,C190103,135,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand 620,Publishing,2,total,C190103,42,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand 620,Motion picture,2,total,C190103,54,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand 620,Telecommunications,2,total,C190103,39,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand 620,Financial  insurance services,1,total,C190103,282,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand 620,Finance,2,total,C190103,57,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand 620,Insurance,2,total,C190103,9,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand 620,Auxiliary,2,total,C190103,219,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand 620,Rental hiring  real estate services,1,total,C190103,441,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand 620,Professional scientific  technical services,1,total,C190103,2268,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand 620,Computer systems design,2,total,C190103,318,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand 620,Other professional scientific,2,total,C190103,1953,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand 620,Administrative  support services,1,total,C190103,642,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand 620,Education  training,1,total,C190103,384,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand 620,Health care  social assistance,1,total,C190103,1218,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand 620,Arts  recreation services,1,total,C190103,258,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand 620,Other services,1,total,C190103,480,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand 620,total,0,total,C190103,19029,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand 2150,total,0,619 employees,C190104,6312,Number of businesses,1 and 2 and 3 and 4 and 6
Number of major suppliers in New Zealand 2150,total,0,2049 employees,C190104,2061,Number of businesses,1 and 2 and 3 and 4 and 6
Number of major suppliers in New Zealand 2150,total,0,5099 employees,C190104,564,Number of businesses,1 and 2 and 3 and 4 and 6
Number of major suppliers in New Zealand 2150,total,0,100 employees,C190104,393,Number of businesses,1 and 2 and 3 and 4 and 6
Number of major suppliers in New Zealand 2150,Agriculture forestry  fishing,1,total,C190104,702,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand 2150,Agriculture,2,total,C190104,513,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand 2150,Commercial fishing,2,total,C190104,12,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand 2150,Forestry  logging,2,total,C190104,45,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand 2150,Agriculture forestry  fishing support services,2,total,C190104,132,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand 2150,Mining,1,total,C190104,27,Number of businesses,1 and 2 and 3 and 5 and 6
Number of major suppliers in New Zealand 2150,Manufacturing,1,total,C190104,1392,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand 2150,Food beverage  tobacco,2,total,C190104,288,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand 2150,Textile clothing footwear  leather,2,total,C190104,51,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand 2150,Wood  paper product,2,total,C190104,117,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand 2150,Printing publishing  recorded media,2,total,C190104,78,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand 2150,Petroleum coal chemical  associated product,2,total,C190104,123,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand 2150,Nonmetallic mineral product,2,total,C190104,45,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand 2150,Metal product,2,total,C190104,228,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand 2150,Transport and industrial machinery  equipment,2,total,C190104,312,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand 2150,Other machinery  equipment,2,total,C190104,51,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand 2150,Other manufacturing,2,total,C190104,102,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand 2150,Electricity gas water  waste services,1,total,C190104,27,Number of businesses,1 and 2 and 3 and 5 and 6
Number of major suppliers in New Zealand 2150,Construction,1,total,C190104,1647,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand 2150,Wholesale trade,1,total,C190104,579,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand 2150,Machinery  equipment wholesaling,2,total,C190104,186,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand 2150,Other wholesale trade,2,total,C190104,393,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand 2150,Retail trade,1,total,C190104,960,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand 2150,Accommodation  food services,1,total,C190104,972,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand 2150,Transport postal  warehousing,1,total,C190104,378,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand 2150,Information media  telecommunications,1,total,C190104,81,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand 2150,Publishing,2,total,C190104,18,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand 2150,Motion picture,2,total,C190104,42,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand 2150,Telecommunications,2,total,C190104,15,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand 2150,Financial  insurance services,1,total,C190104,123,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand 2150,Finance,2,total,C190104,42,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand 2150,Insurance,2,total,C190104,9,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand 2150,Auxiliary,2,total,C190104,75,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand 2150,Rental hiring  real estate services,1,total,C190104,219,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand 2150,Professional scientific  technical services,1,total,C190104,912,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand 2150,Computer systems design,2,total,C190104,102,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand 2150,Other professional scientific,2,total,C190104,810,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand 2150,Administrative  support services,1,total,C190104,216,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand 2150,Education  training,1,total,C190104,87,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand 2150,Health care  social assistance,1,total,C190104,594,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand 2150,Arts  recreation services,1,total,C190104,54,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand 2150,Other services,1,total,C190104,351,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand 2150,total,0,total,C190104,9330,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand more than 50,total,0,619 employees,C190105,2844,Number of businesses,1 and 2 and 3 and 4 and 6
Number of major suppliers in New Zealand more than 50,total,0,2049 employees,C190105,1365,Number of businesses,1 and 2 and 3 and 4 and 6
Number of major suppliers in New Zealand more than 50,total,0,5099 employees,C190105,762,Number of businesses,1 and 2 and 3 and 4 and 6
Number of major suppliers in New Zealand more than 50,total,0,100 employees,C190105,1026,Number of businesses,1 and 2 and 3 and 4 and 6
Number of major suppliers in New Zealand more than 50,Agriculture forestry  fishing,1,total,C190105,261,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand more than 50,Agriculture,2,total,C190105,99,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand more than 50,Commercial fishing,2,total,C190105,6,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand more than 50,Forestry  logging,2,total,C190105,9,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand more than 50,Agriculture forestry  fishing support services,2,total,C190105,150,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand more than 50,Mining,1,total,C190105,27,Number of businesses,1 and 2 and 3 and 5 and 6
Number of major suppliers in New Zealand more than 50,Manufacturing,1,total,C190105,954,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand more than 50,Food beverage  tobacco,2,total,C190105,210,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand more than 50,Textile clothing footwear  leather,2,total,C190105,36,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand more than 50,Wood  paper product,2,total,C190105,69,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand more than 50,Printing publishing  recorded media,2,total,C190105,18,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand more than 50,Petroleum coal chemical  associated product,2,total,C190105,63,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand more than 50,Nonmetallic mineral product,2,total,C190105,18,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand more than 50,Metal product,2,total,C190105,162,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand more than 50,Transport and industrial machinery  equipment,2,total,C190105,279,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand more than 50,Other machinery  equipment,2,total,C190105,39,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand more than 50,Other manufacturing,2,total,C190105,63,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand more than 50,Electricity gas water  waste services,1,total,C190105,45,Number of businesses,1 and 2 and 3 and 5 and 6
Number of major suppliers in New Zealand more than 50,Construction,1,total,C190105,894,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand more than 50,Wholesale trade,1,total,C190105,669,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand more than 50,Machinery  equipment wholesaling,2,total,C190105,174,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand more than 50,Other wholesale trade,2,total,C190105,492,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand more than 50,Retail trade,1,total,C190105,1425,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand more than 50,Accommodation  food services,1,total,C190105,174,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand more than 50,Transport postal  warehousing,1,total,C190105,246,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand more than 50,Information media  telecommunications,1,total,C190105,51,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand more than 50,Publishing,2,total,C190105,12,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand more than 50,Motion picture,2,total,C190105,21,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand more than 50,Telecommunications,2,total,C190105,18,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand more than 50,Financial  insurance services,1,total,C190105,66,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand more than 50,Finance,2,total,C190105,33,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand more than 50,Insurance,2,total,C190105,12,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand more than 50,Auxiliary,2,total,C190105,24,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand more than 50,Rental hiring  real estate services,1,total,C190105,138,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand more than 50,Professional scientific  technical services,1,total,C190105,273,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand more than 50,Computer systems design,2,total,C190105,51,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand more than 50,Other professional scientific,2,total,C190105,225,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand more than 50,Administrative  support services,1,total,C190105,222,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand more than 50,Education  training,1,total,C190105,69,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand more than 50,Health care  social assistance,1,total,C190105,171,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand more than 50,Arts  recreation services,1,total,C190105,78,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand more than 50,Other services,1,total,C190105,225,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand more than 50,total,0,total,C190105,6000,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand dont know,total,0,619 employees,C190106,1221,Number of businesses,1 and 2 and 3 and 4 and 6
Number of major suppliers in New Zealand dont know,total,0,2049 employees,C190106,222,Number of businesses,1 and 2 and 3 and 4 and 6
Number of major suppliers in New Zealand dont know,total,0,5099 employees,C190106,81,Number of businesses,1 and 2 and 3 and 4 and 6
Number of major suppliers in New Zealand dont know,total,0,100 employees,C190106,75,Number of businesses,1 and 2 and 3 and 4 and 6
Number of major suppliers in New Zealand dont know,Agriculture forestry  fishing,1,total,C190106,354,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand dont know,Agriculture,2,total,C190106,270,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand dont know,Commercial fishing,2,total,C190106,0,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand dont know,Forestry  logging,2,total,C190106,30,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand dont know,Agriculture forestry  fishing support services,2,total,C190106,54,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand dont know,Mining,1,total,C190106,12,Number of businesses,1 and 2 and 3 and 5 and 6
Number of major suppliers in New Zealand dont know,Manufacturing,1,total,C190106,63,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand dont know,Food beverage  tobacco,2,total,C190106,15,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand dont know,Textile clothing footwear  leather,2,total,C190106,6,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand dont know,Wood  paper product,2,total,C190106,0,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand dont know,Printing publishing  recorded media,2,total,C190106,0,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand dont know,Petroleum coal chemical  associated product,2,total,C190106,15,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand dont know,Nonmetallic mineral product,2,total,C190106,3,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand dont know,Metal product,2,total,C190106,21,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand dont know,Transport and industrial machinery  equipment,2,total,C190106,3,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand dont know,Other machinery  equipment,2,total,C190106,3,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand dont know,Other manufacturing,2,total,C190106,0,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand dont know,Electricity gas water  waste services,1,total,C190106,6,Number of businesses,1 and 2 and 3 and 5 and 6
Number of major suppliers in New Zealand dont know,Construction,1,total,C190106,156,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand dont know,Wholesale trade,1,total,C190106,63,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand dont know,Machinery  equipment wholesaling,2,total,C190106,6,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand dont know,Other wholesale trade,2,total,C190106,57,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand dont know,Retail trade,1,total,C190106,72,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand dont know,Accommodation  food services,1,total,C190106,300,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand dont know,Transport postal  warehousing,1,total,C190106,48,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand dont know,Information media  telecommunications,1,total,C190106,24,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand dont know,Publishing,2,total,C190106,15,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand dont know,Motion picture,2,total,C190106,3,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand dont know,Telecommunications,2,total,C190106,6,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand dont know,Financial  insurance services,1,total,C190106,30,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand dont know,Finance,2,total,C190106,15,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand dont know,Insurance,2,total,C190106,6,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand dont know,Auxiliary,2,total,C190106,15,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand dont know,Rental hiring  real estate services,1,total,C190106,18,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand dont know,Professional scientific  technical services,1,total,C190106,108,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand dont know,Computer systems design,2,total,C190106,24,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand dont know,Other professional scientific,2,total,C190106,87,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand dont know,Administrative  support services,1,total,C190106,36,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand dont know,Education  training,1,total,C190106,63,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand dont know,Health care  social assistance,1,total,C190106,162,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand dont know,Arts  recreation services,1,total,C190106,9,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand dont know,Other services,1,total,C190106,63,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers in New Zealand dont know,total,0,total,C190106,1602,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers overseas zero,total,0,619 employees,C190201,21348,Number of businesses,1 and 2 and 3 and 4 and 6
Number of major suppliers overseas zero,total,0,2049 employees,C190201,4200,Number of businesses,1 and 2 and 3 and 4 and 6
Number of major suppliers overseas zero,total,0,5099 employees,C190201,864,Number of businesses,1 and 2 and 3 and 4 and 6
Number of major suppliers overseas zero,total,0,100 employees,C190201,546,Number of businesses,1 and 2 and 3 and 4 and 6
Number of major suppliers overseas zero,Agriculture forestry  fishing,1,total,C190201,2484,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers overseas zero,Agriculture,2,total,C190201,1536,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers overseas zero,Commercial fishing,2,total,C190201,36,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers overseas zero,Forestry  logging,2,total,C190201,159,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers overseas zero,Agriculture forestry  fishing support services,2,total,C190201,756,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers overseas zero,Mining,1,total,C190201,45,Number of businesses,1 and 2 and 3 and 5 and 6
Number of major suppliers overseas zero,Manufacturing,1,total,C190201,2013,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers overseas zero,Food beverage  tobacco,2,total,C190201,462,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers overseas zero,Textile clothing footwear  leather,2,total,C190201,30,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers overseas zero,Wood  paper product,2,total,C190201,258,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers overseas zero,Printing publishing  recorded media,2,total,C190201,78,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers overseas zero,Petroleum coal chemical  associated product,2,total,C190201,78,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers overseas zero,Nonmetallic mineral product,2,total,C190201,93,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers overseas zero,Metal product,2,total,C190201,459,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers overseas zero,Transport and industrial machinery  equipment,2,total,C190201,378,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers overseas zero,Other machinery  equipment,2,total,C190201,30,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers overseas zero,Other manufacturing,2,total,C190201,147,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers overseas zero,Electricity gas water  waste services,1,total,C190201,108,Number of businesses,1 and 2 and 3 and 5 and 6
Number of major suppliers overseas zero,Construction,1,total,C190201,5544,Number of businesses,1 and 2 and 3 and 6
